,Annee modele,Marque,Modele,Categorie de vehicule,Cylindree (L),Cylindres,Transmission,Type de carburant,Ville (L/100 km),Route (L/100 km),Combinee (L/100 km),Combinee (mi/gal),Emissions de CO2 (g/km),Indice de CO2,Indice de smog
16785,2014,Acura,ILX,Compacte,2.0,4,AS5,Z,9.9,6.7,8.5,33,196,s.o.,s.o.
16786,2014,Acura,ILX,Compacte,2.4,4,M6,Z,11.2,7.7,9.6,29,221,s.o.,s.o.
16787,2014,Acura,ILX Hybrid,Compacte,1.5,4,AV,Z,6.0,5.8,5.9,48,136,s.o.,s.o.
16788,2014,Acura,MDX 4WD,Véhicule utilitaire sport : petit,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,s.o.,s.o.
16789,2014,Acura,RDX AWD,Véhicule utilitaire sport : petit,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,s.o.,s.o.
16790,2014,Acura,RLX,Intermédiaire,3.5,6,AS6,Z,11.9,7.7,10.0,28,230,s.o.,s.o.
16791,2014,Acura,TL,Intermédiaire,3.5,6,AS6,Z,11.8,8.1,10.1,28,232,s.o.,s.o.
16792,2014,Acura,TL AWD,Intermédiaire,3.7,6,AS6,Z,12.8,9.0,11.1,25,255,s.o.,s.o.
16793,2014,Acura,TL AWD,Intermédiaire,3.7,6,M6,Z,13.4,9.5,11.6,24,267,s.o.,s.o.
16794,2014,Acura,TSX,Compacte,2.4,4,AS5,Z,10.6,7.5,9.2,31,212,s.o.,s.o.
16795,2014,Acura,TSX,Compacte,2.4,4,M6,Z,11.2,8.1,9.8,29,225,s.o.,s.o.
16796,2014,Acura,TSX,Compacte,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,s.o.,s.o.
16797,2014,Alfa Romeo,4C,Deux places,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,s.o.,s.o.
16798,2014,Aston Martin,DB9,Minicompacte,5.9,12,A6,Z,18.0,12.6,15.6,18,359,s.o.,s.o.
16799,2014,Aston Martin,Rapide,Sous-compacte,5.9,12,A6,Z,18.0,12.6,15.6,18,359,s.o.,s.o.
16800,2014,Aston Martin,Vanquish,Minicompacte,5.9,12,A6,Z,18.0,12.6,15.6,18,359,s.o.,s.o.
16801,2014,Aston Martin,V8 Vantage,Deux places,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,s.o.,s.o.
16802,2014,Aston Martin,V8 Vantage,Deux places,4.7,8,M6,Z,18.1,12.2,15.4,18,354,s.o.,s.o.
16803,2014,Aston Martin,V8 Vantage S,Deux places,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,s.o.,s.o.
16804,2014,Aston Martin,V8 Vantage S,Deux places,4.7,8,M6,Z,18.1,12.2,15.4,18,354,s.o.,s.o.
16805,2014,Audi,A4,Compacte,2.0,4,AV,Z,9.9,7.4,8.8,32,202,s.o.,s.o.
16806,2014,Audi,A4 quattro,Compacte,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,s.o.,s.o.
16807,2014,Audi,A4 quattro,Compacte,2.0,4,M6,Z,10.8,7.5,9.3,30,214,s.o.,s.o.
16808,2014,Audi,A5 quattro,Sous-compacte,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,s.o.,s.o.
16809,2014,Audi,A5 quattro,Sous-compacte,2.0,4,M6,Z,10.8,7.5,9.3,30,214,s.o.,s.o.
16810,2014,Audi,A5 Cabriolet quattro,Sous-compacte,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,s.o.,s.o.
16811,2014,Audi,A6 quattro,Intermédiaire,2.0,4,AS8,Z,12.0,8.1,10.2,28,235,s.o.,s.o.
16812,2014,Audi,A6 quattro,Intermédiaire,3.0,6,AS8,Z,12.8,8.6,10.9,26,251,s.o.,s.o.
16813,2014,Audi,A6 quattro TDI (modified),Intermédiaire,3.0,6,AS8,D,9.8,6.2,8.1,35,217,s.o.,s.o.
16814,2014,Audi,A7 quattro,Intermédiaire,3.0,6,AS8,Z,13.3,8.5,11.2,25,262,s.o.,s.o.
